slug,path,selected,eligible,decision,reason,marker_yaml,marker_doc,category,git_status
agentzero,/mnt/storage/Cole/Projects/AgentZero,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/AgentZero/.project-forge.yml,/mnt/storage/Cole/Projects/AgentZero/docs/PROJECT_FORGE.md,clean_candidate,clean
dj_request_system,/mnt/storage/Cole/Projects/DJ_request_system,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/DJ_request_system/.project-forge.yml,/mnt/storage/Cole/Projects/DJ_request_system/docs/PROJECT_FORGE.md,clean_candidate,clean
extension-blip,/mnt/storage/Cole/Projects/Extension-Blip,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/Extension-Blip/.project-forge.yml,/mnt/storage/Cole/Projects/Extension-Blip/docs/PROJECT_FORGE.md,clean_candidate,clean
commandboard,/mnt/storage/Cole/Projects/NOTEvil-Inc/CommandBoard,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/NOTEvil-Inc/CommandBoard/.project-forge.yml,/mnt/storage/Cole/Projects/NOTEvil-Inc/CommandBoard/docs/PROJECT_FORGE.md,clean_candidate,clean
notevil-c2-obsidian-bridge,/mnt/storage/Cole/Projects/NOTEvil-Inc/notevil-c2-obsidian-bridge,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/NOTEvil-Inc/notevil-c2-obsidian-bridge/.project-forge.yml,/mnt/storage/Cole/Projects/NOTEvil-Inc/notevil-c2-obsidian-bridge/docs/PROJECT_FORGE.md,clean_candidate,clean
notevil-total-evac,/mnt/storage/Cole/Projects/NOTEvil-Inc/notevil-total-evac,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/NOTEvil-Inc/notevil-total-evac/.project-forge.yml,/mnt/storage/Cole/Projects/NOTEvil-Inc/notevil-total-evac/docs/PROJECT_FORGE.md,clean_candidate,clean
notevil_oracle,/mnt/storage/Cole/Projects/NOTEvil-Inc/notevil_oracle,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/NOTEvil-Inc/notevil_oracle/.project-forge.yml,/mnt/storage/Cole/Projects/NOTEvil-Inc/notevil_oracle/docs/PROJECT_FORGE.md,clean_candidate,clean
oracle,/mnt/storage/Cole/Projects/NOTEvil-Inc/oracle,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/NOTEvil-Inc/oracle/.project-forge.yml,/mnt/storage/Cole/Projects/NOTEvil-Inc/oracle/docs/PROJECT_FORGE.md,clean_candidate,clean
sillytavern,/mnt/storage/Cole/Projects/SillyTavern,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/SillyTavern/.project-forge.yml,/mnt/storage/Cole/Projects/SillyTavern/docs/PROJECT_FORGE.md,clean_candidate,clean
spiderfoot_peoplesearch,/mnt/storage/Cole/Projects/SpiderFoot_PeopleSearch,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/SpiderFoot_PeopleSearch/.project-forge.yml,/mnt/storage/Cole/Projects/SpiderFoot_PeopleSearch/docs/PROJECT_FORGE.md,clean_candidate,clean
steelseries_rgb,/mnt/storage/Cole/Projects/SteelSeries_RGB,false,false,blocked_dirty,Repo is dirty; clean or review before embedding.,/mnt/storage/Cole/Projects/SteelSeries_RGB/.project-forge.yml,/mnt/storage/Cole/Projects/SteelSeries_RGB/docs/PROJECT_FORGE.md,dirty_candidate_review_first,dirty
01-website-brand,/mnt/storage/Cole/Projects/Stormchaser407/01-website-brand,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/Stormchaser407/01-website-brand/.project-forge.yml,/mnt/storage/Cole/Projects/Stormchaser407/01-website-brand/docs/PROJECT_FORGE.md,clean_candidate,clean
argus,/mnt/storage/Cole/Projects/Stormchaser407/Argus,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/Stormchaser407/Argus/.project-forge.yml,/mnt/storage/Cole/Projects/Stormchaser407/Argus/docs/PROJECT_FORGE.md,clean_candidate,clean
cerberus,/mnt/storage/Cole/Projects/Stormchaser407/Cerberus,false,false,blocked_protected,Protected/Cerberus-related repo requires manual review.,/mnt/storage/Cole/Projects/Stormchaser407/Cerberus/.project-forge.yml,/mnt/storage/Cole/Projects/Stormchaser407/Cerberus/docs/PROJECT_FORGE.md,protected_manual_review,clean
corecivic-ops,/mnt/storage/Cole/Projects/Stormchaser407/CoreCivic-Ops,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/Stormchaser407/CoreCivic-Ops/.project-forge.yml,/mnt/storage/Cole/Projects/Stormchaser407/CoreCivic-Ops/docs/PROJECT_FORGE.md,clean_candidate,clean
creeperbot5000,/mnt/storage/Cole/Projects/Stormchaser407/CreeperBot5000,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/Stormchaser407/CreeperBot5000/.project-forge.yml,/mnt/storage/Cole/Projects/Stormchaser407/CreeperBot5000/docs/PROJECT_FORGE.md,clean_candidate,clean
ig-detective,/mnt/storage/Cole/Projects/Stormchaser407/IG-Detective,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/Stormchaser407/IG-Detective/.project-forge.yml,/mnt/storage/Cole/Projects/Stormchaser407/IG-Detective/docs/PROJECT_FORGE.md,clean_candidate,clean
mygirlgpt,/mnt/storage/Cole/Projects/Stormchaser407/MyGirlGPT,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/Stormchaser407/MyGirlGPT/.project-forge.yml,/mnt/storage/Cole/Projects/Stormchaser407/MyGirlGPT/docs/PROJECT_FORGE.md,clean_candidate,clean
osint-framework,/mnt/storage/Cole/Projects/Stormchaser407/OSINT-Framework,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/Stormchaser407/OSINT-Framework/.project-forge.yml,/mnt/storage/Cole/Projects/Stormchaser407/OSINT-Framework/docs/PROJECT_FORGE.md,clean_candidate,clean
