slug,path,git_status,has_readme,has_agents,has_code_workspace,has_project_forge_marker,remote_count,category
nixos,/etc/nixos,dirty,false,false,false,false,1,dirty_candidate_review_first
01-website-brand,/run/media/cash/WD_BLACK_4TB/Cole/Projects/01-website-brand,clean,false,false,false,false,2,clean_candidate
archived-notevil-neon-district,/run/media/cash/WD_BLACK_4TB/Cole/Projects/ARCHIVED-NotEvil-neon-district,clean,true,false,false,true,1,known_embedded
argus,/run/media/cash/WD_BLACK_4TB/Cole/Projects/Argus,clean,true,false,false,false,2,clean_candidate
cerberus,/run/media/cash/WD_BLACK_4TB/Cole/Projects/Cerberus,clean,true,false,false,false,2,protected_manual_review
commandboard,/run/media/cash/WD_BLACK_4TB/Cole/Projects/CommandBoard,clean,true,false,false,false,2,clean_candidate
corecivic-ops,/run/media/cash/WD_BLACK_4TB/Cole/Projects/CoreCivic-Ops,clean,true,false,false,false,2,clean_candidate
creeperbot5000,/run/media/cash/WD_BLACK_4TB/Cole/Projects/CreeperBot5000,clean,false,false,false,false,2,clean_candidate
dj_request_system,/run/media/cash/WD_BLACK_4TB/Cole/Projects/DJ_request_system,clean,true,false,false,false,2,clean_candidate
endgame-consultation,/run/media/cash/WD_BLACK_4TB/Cole/Projects/Endgame-Consultation,clean,true,false,false,false,2,clean_candidate
ig-detective,/run/media/cash/WD_BLACK_4TB/Cole/Projects/IG-Detective,clean,true,false,false,false,2,clean_candidate
mygirlgpt,/run/media/cash/WD_BLACK_4TB/Cole/Projects/MyGirlGPT,clean,true,false,false,false,2,clean_candidate
oracle,/run/media/cash/WD_BLACK_4TB/Cole/Projects/NotEvil/oracle,clean,true,true,false,false,1,clean_candidate
oracle-codex-lab,/run/media/cash/WD_BLACK_4TB/Cole/Projects/NotEvil/oracle-codex-lab,dirty,true,true,false,false,1,dirty_candidate_review_first
osint-framework,/run/media/cash/WD_BLACK_4TB/Cole/Projects/OSINT-Framework,clean,true,false,false,false,2,clean_candidate
redditbeacon,/run/media/cash/WD_BLACK_4TB/Cole/Projects/RedditBeacon,unknown,false,false,false,false,0,unknown_structure
spiderfoot_peoplesearch,/run/media/cash/WD_BLACK_4TB/Cole/Projects/SpiderFoot_PeopleSearch,clean,true,false,false,false,2,clean_candidate
steelseries_rgb,/run/media/cash/WD_BLACK_4TB/Cole/Projects/SteelSeries_RGB,clean,true,false,false,false,2,clean_candidate
technical_documents,/run/media/cash/WD_BLACK_4TB/Cole/Projects/Technical_Documents,clean,true,false,false,false,2,clean_candidate
aegis,/run/media/cash/WD_BLACK_4TB/Cole/Projects/aegis,clean,true,false,false,false,2,clean_candidate
agent-zero,/run/media/cash/WD_BLACK_4TB/Cole/Projects/agent-zero,clean,true,true,false,false,1,clean_candidate
cerberus-aegis,/run/media/cash/WD_BLACK_4TB/Cole/Projects/cerberus-aegis,clean,true,false,false,false,2,protected_manual_review
cerberus-agents,/run/media/cash/WD_BLACK_4TB/Cole/Projects/cerberus-agents,clean,true,false,false,false,2,protected_manual_review
cerberus-command,/run/media/cash/WD_BLACK_4TB/Cole/Projects/cerberus-command,clean,true,false,false,false,2,protected_manual_review
cerberus-eyes-on,/run/media/cash/WD_BLACK_4TB/Cole/Projects/cerberus-eyes-on,clean,true,false,false,false,1,protected_manual_review
cerberus-mgm-boot,/run/media/cash/WD_BLACK_4TB/Cole/Projects/cerberus-mgm-boot,clean,true,false,false,false,1,protected_manual_review
cerberus-project,/run/media/cash/WD_BLACK_4TB/Cole/Projects/cerberus-project,clean,true,false,false,false,2,protected_manual_review
cerberus-recon,/run/media/cash/WD_BLACK_4TB/Cole/Projects/cerberus-recon,clean,false,false,false,false,2,protected_manual_review
cerberus-vault,/run/media/cash/WD_BLACK_4TB/Cole/Projects/cerberus-vault,clean,false,false,false,false,2,protected_manual_review
cerberus-watch,/run/media/cash/WD_BLACK_4TB/Cole/Projects/cerberus-watch,clean,true,false,false,false,2,protected_manual_review
cerberus_case_workspace,/run/media/cash/WD_BLACK_4TB/Cole/Projects/cerberus_case_workspace,clean,true,false,false,false,2,protected_manual_review
chashgram.nicegram,/run/media/cash/WD_BLACK_4TB/Cole/Projects/chashgram.nicegram,clean,true,false,false,false,2,clean_candidate
